iter	RMSE
0	1.003912393
1	0.8865599339
2	0.8150123801
3	0.7668480618
4	0.7353376212
5	0.7138886847
6	0.694523501
7	0.6789869358
8	0.669822431
9	0.6604152999
10	0.6520259686
11	0.6460892583
12	0.6392301548
13	0.6343253736
14	0.6267190769
15	0.621720083
16	0.6185482304
17	0.616079386
18	0.6124762168
19	0.6075117542
20	0.6042024953
21	0.6000900978
22	0.5966274082
23	0.5924544259
24	0.5900634129
25	0.5881460309
26	0.5864341501
27	0.5841831703
28	0.5818053281
29	0.5796184822
30	0.5772651619
31	0.5753319385
32	0.5736273742
33	0.5721802436
34	0.5703731377
35	0.5687362958
36	0.5676988868
37	0.5651196286
38	0.5634237058
39	0.5618199908
40	0.5603878528
41	0.5582227411
42	0.5568453359
43	0.5553922723
44	0.5541892795
45	0.5532030099
46	0.5518920046
47	0.5508868379
48	0.5498085342
49	0.5485228588
50	0.5471244043
51	0.5461038236
52	0.5452655877
53	0.5443450571
54	0.5428944498
55	0.5419066854
56	0.5408996446
57	0.5402025782
58	0.5394545383
59	0.5384313376
60	0.5375835982
61	0.5365891129
62	0.5357934108
63	0.5348419155
64	0.5339897556
65	0.5332920478
66	0.5326329322
67	0.5318878422
68	0.5311884755
69	0.5304300373
70	0.5294692564
71	0.5288760469
72	0.5280582987
73	0.5273290242
74	0.5267237985
75	0.5263101676
76	0.5255468455
77	0.5248665444
78	0.5242358587
79	0.5236328578
80	0.5230717836
81	0.5221809394
82	0.521596963
83	0.5210449607
84	0.520446297
85	0.5197623122
86	0.5192000227
87	0.5186930758
88	0.518106558
89	0.5176384196
90	0.5170975698
91	0.5166469164
92	0.5161439142
93	0.5157045607
94	0.5153007742
95	0.5148281779
96	0.5144674615
97	0.5140641944
98	0.5134986795
99	0.5129910169
100	0.5124632686
101	0.5120169482
102	0.5114874425
103	0.5110821895
104	0.5106431341
105	0.5101912791
106	0.5098072087
107	0.5093025016
108	0.5088710792
109	0.5081759524
110	0.5077657846
111	0.5074169588
112	0.5068326812
113	0.5065344929
114	0.5061761133
115	0.5056868221
116	0.5053281223
117	0.5049268148
118	0.5046175488
119	0.5041928036
120	0.5038196861
121	0.5035181518
122	0.503135499
123	0.5028585253
124	0.5023808944
125	0.5020591207
126	0.5017692459
127	0.5014904929
128	0.5011951964
129	0.5008666357
130	0.5004960745
131	0.5000468749
132	0.4998162593
133	0.4995885065
134	0.498943413
135	0.4985577522
136	0.4983178269
137	0.4979940111
138	0.4976102524
139	0.4973546623
140	0.4970548389
141	0.4967289371
142	0.4964252871
143	0.4960152502
144	0.4957669024
145	0.4955219305
146	0.4952413336
147	0.4949635078
148	0.4947057876
149	0.4943722414
150	0.4941166635
151	0.4938516181
152	0.4936180202
153	0.4933856647
154	0.4931238836
155	0.4929333144
156	0.4927271145
157	0.4924435687
158	0.4922653594
159	0.4920399608
160	0.4917440055
161	0.491510752
162	0.4911953052
163	0.490978263
164	0.4907917264
165	0.4905864051
166	0.4903637537
167	0.490158223
168	0.4898953521
169	0.4896144995
170	0.4894076419
171	0.489245503
172	0.4890681333
173	0.4888907013
174	0.4886335207
175	0.4883338864
176	0.4881043309
177	0.4878313717
178	0.4876479956
179	0.4874873525
180	0.4872582182
181	0.4870221352
182	0.4867864671
183	0.4865892015
184	0.4864407991
185	0.4861778308
186	0.4859988175
187	0.4858147567
188	0.4856468218
189	0.485264477
190	0.4850899915
191	0.4848131831
192	0.4846528335
193	0.4845018784
194	0.4843376689
195	0.4841985769
196	0.4839421947
197	0.4837584661
198	0.4836003883
199	0.4834018115
200	0.4832423288
201	0.4831077928
202	0.4829161183
203	0.4827138912
204	0.4824492345
205	0.4822603807
206	0.4821012289
207	0.4819505179
208	0.4817510558
209	0.4816322803
210	0.4813979038
211	0.4812223964
212	0.4810744024
213	0.4809287555
214	0.4807324534
215	0.4804523468
216	0.4803135879
217	0.4801892561
218	0.4800150475
219	0.4797938214
220	0.4795831036
221	0.4794394974
222	0.4792922779
223	0.4791630559
224	0.4790405643
225	0.4788548777
226	0.478693674
227	0.4785256883
228	0.4783789331
229	0.4782115747
230	0.478059595
231	0.4778361031
232	0.477656684
233	0.4775296237
234	0.477413344
235	0.4772477278
236	0.4770451651
237	0.476908588
238	0.4767610314
239	0.4765670031
240	0.4764537132
241	0.4762784881
242	0.4761146387
243	0.4759547245
244	0.4758257617
245	0.4757049807
246	0.4754949338
247	0.4753938709
248	0.4752158176
249	0.475078967
250	0.4749623486
251	0.4747312766
252	0.4746348768
253	0.4745468641
254	0.4744428518
255	0.474214308
256	0.4741003653
257	0.4739905695
258	0.4738413586
259	0.4737347816
260	0.4736143752
261	0.4735142796
262	0.4734206087
263	0.4731921351
264	0.4730814406
265	0.4729422663
266	0.4728228446
267	0.472717724
268	0.4726033046
269	0.4724951546
270	0.4724093389
271	0.4722170151
272	0.4720962604
273	0.4719640748
274	0.4718727206
275	0.4717092857
276	0.4715838737
277	0.4714822021
278	0.4713304791
279	0.4711956921
280	0.4710666149
281	0.4709576678
282	0.4708059936
283	0.4706777556
284	0.470511065
285	0.4703765156
286	0.4702853559
287	0.470147856
288	0.4700358787
289	0.4699066026
290	0.4697469013
291	0.4696655123
292	0.4695433134
293	0.4693188886
294	0.4692226098
295	0.4690933564
296	0.4689725083
297	0.4688534102
298	0.4687163887
299	0.4685443817
300	0.4684099969
301	0.468321087
302	0.468162302
303	0.4680557479
304	0.4679538344
305	0.4678622765
306	0.4677764007
307	0.4676500865
308	0.4675413546
309	0.4674475926
310	0.4673515084
311	0.467267984
312	0.4671313734
313	0.4670270088
314	0.4668820948
315	0.4668064019
316	0.4667215029
317	0.4666521832
318	0.466459718
319	0.4663475074
320	0.4662305574
321	0.4661219308
322	0.4660424377
323	0.4659677246
324	0.4658239078
325	0.4657469603
326	0.4656058672
327	0.465508319
328	0.465399809
329	0.4652900941
330	0.4652312817
331	0.4651054409
332	0.4649589505
333	0.4648589739
334	0.4647787801
335	0.4646832945
336	0.4645921404
337	0.4644609763
338	0.4643848591
339	0.4643067058
340	0.4642135154
341	0.4641354667
342	0.4640220503
343	0.4639322722
344	0.4638623671
345	0.4637545286
346	0.4636293827
347	0.4635452957
348	0.4634692548
349	0.4633237112
350	0.4632397895
351	0.4631617523
352	0.4630224992
353	0.4629125067
354	0.4628217315
355	0.4626999537
356	0.4625566704
357	0.4624806784
358	0.4623879582
359	0.4623092553
360	0.4621591058
361	0.4620585817
362	0.4619206064
363	0.461845292
364	0.4617613191
365	0.4616712793
366	0.4615892415
367	0.4614877103
368	0.4614124807
369	0.4613008222
370	0.4612371984
371	0.4611411879
372	0.4610714849
373	0.4609864864
374	0.4609215771
375	0.4608188816
376	0.4607377223
377	0.4606167891
378	0.460514411
379	0.460395771
380	0.4603079575
381	0.4602349433
382	0.4601604689
383	0.4600845543
384	0.4600218046
385	0.459960832
386	0.4598320784
387	0.459733882
388	0.4596665917
389	0.4596109349
390	0.4595337666
391	0.4594325598
392	0.4593615135
393	0.4592949797
394	0.4592402803
395	0.4591636123
396	0.4590998939
397	0.4590276434
398	0.4588982651
399	0.458834026
400	0.4587579357
401	0.4586522512
402	0.4585598682
403	0.4584928296
404	0.4584292839
405	0.4583730025
406	0.4582660985
407	0.4582043147
408	0.4581326128
409	0.4580177353
410	0.4579533494
411	0.4579032584
412	0.4578424642
413	0.4577068426
414	0.4575894974
415	0.4575181452
416	0.4573981548
417	0.4572753055
418	0.4571983796
419	0.4571133991
420	0.4570503688
421	0.4569518341
422	0.4568710409
423	0.4567733641
424	0.4566761863
425	0.456594629
426	0.4565207157
427	0.4564266091
428	0.4563466931
429	0.4562709073
430	0.4562229161
431	0.4561524103
432	0.4560577408
433	0.4559787954
434	0.4559304952
435	0.455872286
436	0.455722431
437	0.4556631718
438	0.4556031497
439	0.455518538
440	0.4554642184
441	0.4554064679
442	0.4553208718
443	0.4552692327
444	0.4551951381
445	0.4551358563
446	0.4550734161
447	0.4550182647
448	0.4549544115
449	0.4548986327
450	0.4548257473
451	0.4547627528
452	0.4546844828
453	0.4546218039
454	0.45453722
455	0.4544619108
456	0.4544134749
457	0.4543729521
458	0.4543254865
459	0.4542796888
460	0.4542177974
461	0.4541172952
462	0.454039223
463	0.4539832196
464	0.453898815
465	0.4538251912
466	0.4537788801
467	0.4537293608
468	0.4536737617
469	0.4536254978
470	0.4535015861
471	0.4534096525
472	0.4533573069
473	0.4532602753
474	0.4531925265
475	0.4531399322
476	0.453064248
477	0.4530084392
478	0.452934214
479	0.4528772575
480	0.4527971816
481	0.4527284448
482	0.4526682178
483	0.452597564
484	0.4525404012
485	0.4524608629
486	0.4524233974
487	0.4523468176
488	0.4522808662
489	0.4522236136
490	0.4521567267
491	0.4521073616
492	0.4520455519
493	0.451956525
494	0.4518945151
495	0.4518072349
496	0.4517427472
497	0.4516524423
498	0.4515963356
499	0.4515327444
500	0.4514410826
501	0.4513780653
502	0.4513167657
503	0.451265019
504	0.4512152155
505	0.4511431066
506	0.4510864195
507	0.4510244091
508	0.4509735946
509	0.4509161936
510	0.4508691664
511	0.4508019486
512	0.450747433
513	0.4507042098
514	0.4506484906
515	0.4505989706
516	0.4505266988
517	0.45044608
518	0.450407616
519	0.4503498548
520	0.4502909179
521	0.4502311912
522	0.450168684
523	0.4500988006
524	0.4500489307
525	0.4499964953
526	0.4499382135
527	0.4498667473
528	0.449815533
529	0.4497615566
530	0.4497177333
531	0.4496653864
532	0.4496170346
533	0.4495450925
534	0.4494696473
535	0.4494173917
536	0.4493610357
537	0.449303757
538	0.449229312
539	0.4491829129
540	0.4491222965
541	0.449075995
542	0.4490280614
543	0.4489670833
544	0.4489217711
545	0.4488303557
546	0.4487532117
547	0.4486944478
548	0.4486476369
549	0.4485611409
550	0.4484883606
551	0.4484263013
552	0.4483629092
553	0.4482647643
554	0.4482226995
555	0.4481159507
556	0.4480653758
557	0.4480215319
558	0.4479719088
559	0.4479276337
560	0.4478809945
561	0.4478363084
562	0.4477703564
563	0.4477184183
564	0.4476415645
565	0.4475726644
566	0.4474975774
567	0.4474350095
568	0.4473780666
569	0.4472712899
570	0.4472295241
571	0.4471647349
572	0.4470957627
573	0.4470547392
574	0.4469971565
575	0.446940652
576	0.4468746376
577	0.4468224431
578	0.446784141
579	0.4467023937
580	0.4466544486
581	0.446580215
582	0.4464966717
583	0.4464322556
584	0.4463832874
585	0.4463423313
586	0.4463041473
587	0.4462486004
588	0.4461797495
589	0.4461128873
590	0.4460682554
591	0.4460152609
592	0.4459492067
593	0.4458911668
594	0.4458338469
595	0.4457899325
596	0.4457518702
597	0.4457075588
598	0.4456191149
599	0.445558083
600	0.4455167915
601	0.4454763109
602	0.4454188277
603	0.4453536599
604	0.445313065
605	0.4452480433
606	0.4451740815
607	0.4451217621
608	0.4450701432
609	0.4450133178
610	0.4449547561
611	0.4448969063
